id;cep;logradouro;complemento;bairro;localidade;uf
1;customized Movies Strategist;Forward Uruguay;Fish e-markets;back-end Forward;Electronics;Estate Integration
2;magenta bandwidth-monitored;Buckinghamshire Georgia;Rustic quantifying;motivating Belize cross-platform;repurpose circuit;Bacon ivory Rubber
3;Belize Boliviano Michigan;Intelligent wireless purple;Quetzal red;motivating Vatu copy;Money backing Small;interactive Streets Centralized
4;Facilitator;Account;Agent RSS Buckinghamshire;mobile discrete transform;Skyway Lock pink;disintermediate
5;Path proactive;Creative Buckinghamshire Gardens;Rustic Savings Mali;Wooden;Secured Avon orange;Ohio
6;monitoring;program;Configurable Fresh;Technician scale bypassing;Hat JSON;Fresh Account
7;Internal;Mobility Baby;Versatile interface SSL;Licensed Profound;deposit;solutions Route
8;Mobility Soap Divide;reboot Buckinghamshire Human;Mouse parsing Berkshire;online FTP platforms;Beauty;salmon Buckinghamshire program
9;Savings;Ergonomic;payment;contingency;bypassing compressing;RSS Polarised
10;attitude Loan;24/7 Analyst solid;web-enabled Shirt;calculating;withdrawal e-business system;Usability Borders
